date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop,
19/06/2018,1529432034,33,127,0,1529363160,1529372760,0
16/07/2018,1531765107,54,211,2,1531695540,1531711560,1
08/08/2018,1533752537,55,247,0,1533683460,1533701580,0
03/11/2018,1541268388,59,447,0,1541182500,1541212860,1
07/11/2018,1541614024,60,287,0,1541535540,1541556360,0
18/07/2018,1531937924,67,243,0,1531870260,1531888860,1
05/11/2018,1541441205,70,397,0,1541355240,1541383260,0
09/06/2018,1528567924,82,190,34,1528491840,1528510200,1
19/11/2018,1542715737,84,324,0,1542569700,1542594180,0
15/06/2018,1529086393,85,293,0,1529002380,1529025060,1
23/07/2018,1532369980,88,297,0,1532291820,1532314920,0
28/11/2018,1543672427,90,241,2,1543351620,1543371600,1
04/09/2018,1536085600,91,413,0,1535995800,1536026040,0
09/11/2018,1541786846,99,280,0,1541705640,1541728380,1
17/09/2018,1537208934,102,251,0,1537125780,1537146960,0
17/09/2018,1537208934,102,251,0,1537125780,1537146960,1
20/08/2018,1534788412,103,279,0,1534705740,1534728660,0
11/07/2018,1531333059,104,253,0,1531252500,1531273920,1
22/09/2018,1537640984,107,382,0,1537550040,1537579380,0
29/11/2018,1543672429,107,339,0,1543429320,1543456080,1
22/09/2018,1537640984,107,382,0,1537550040,1537579380,0
29/11/2018,1543672429,107,339,0,1543429320,1543456080,1
02/12/2018,1543774246,108,283,2,1543699320,1543722900,0
02/12/2018,1543774246,108,283,2,1543699320,1543722900,1
06/10/2018,1538848915,109,312,0,1538776140,1538801400,0
20/11/2018,1542767400,110,263,0,1542657240,1542679620,1
20/11/2018,1542767400,110,263,0,1542657240,1542679620,0
03/09/2018,1535999193,111,297,0,1535915280,1535939760,1
16/10/2018,1539713010,111,405,0,1539625800,1539656760,0
03/09/2018,1535999193,111,297,0,1535915280,1535939760,1
16/10/2018,1539713010,111,405,0,1539625800,1539656760,0
30/10/2018,1540922744,113,316,0,1540839540,1540865280,1
30/10/2018,1540922744,113,316,0,1540839540,1540865280,0
01/09/2018,1535826374,114,315,0,1535744220,1535769960,1
01/09/2018,1535826374,114,315,0,1535744220,1535769960,0
30/09/2018,1538330459,115,260,0,1538249340,1538271840,1
03/12/2018,1543864256,116,342,0,1543776360,1543803840,0
10/07/2018,1531246648,117,262,0,1531163700,1531186440,1
29/08/2018,1535567142,118,300,0,1535480760,1535505840,0
07/06/2018,1528395102,118,201,0,1528315320,1528334460,1
